================================================================================
N-BODY SIMULATION RESULTS
Simulation Type: CUDA
Date: 2026-01-05 18:38:45
================================================================================

PERFORMANCE METRICS
--------------------------------------------------------------------------------
Number of bodies: 2000
Number of steps: 200
Total execution time: 1.0160 seconds
Average time per step: 0.0050 seconds
Min time per step: 0.0040 seconds
Max time per step: 0.0090 seconds
Throughput: 393700.79 body-steps/second

================================================================================

BODY INFORMATION
--------------------------------------------------------------------------------
Index    X            Y            Z            VX           VY           VZ           Mass      
--------------------------------------------------------------------------------
0        5.4879       3.3906       -2.6456      16.4151      8.4879       -8.4174      0.3202    
1        -13.2976     16.4642      -8.2650      -3.1232      8.3156       2.0261       0.2950    
2        1.8066       -0.2986      0.9090       3.7041       -2.2302      3.0239       0.3446    
3        -3.8503      -3.2156      -4.7457      -10.4743     -5.6883      -12.3977     0.2673    
4        0.5798       0.6223       -0.7461      17.4344      11.9298      -18.3982     0.3172    
5        -4.9361      6.1137       -3.6703      -10.2919     13.7930      -6.0395      0.9219    
6        -4.1882      4.7368       3.9106       -9.7375      15.0627      10.0932      0.7574    
7        2.1114       -1.1670      1.1271       2.3554       -2.9953      -1.4114      0.9158    
8        -1.7306      -5.6616      -0.9049      0.0727       -6.6724      -2.0698      0.7740    
9        -6.3402      4.5319       3.6277       -11.1422     11.3820      5.5729       0.1301    
10       -2.5502      3.1995       1.3702       1.1151       7.8377       2.9358       0.8171    
11       0.2707       0.9724       4.6254       6.9079       -7.7447      1.6426       0.2501    
12       0.8245       -0.2010      -8.3672      3.9781       3.3926       -14.5826     0.1232    
13       -6.2209      3.0682       1.5083       -7.0408      7.9224       0.6932       0.8462    
14       29.9963      -24.8301     -21.7041     11.1892      -9.0596      -16.6032     0.6015    
15       -2.0836      6.9539       -1.5347      3.7390       4.8029       7.7908       0.7756    
16       4.4815       7.7528       -2.7993      9.5221       -5.6844      -8.2688      0.1862    
17       -3.7262      -0.4194      -6.5795      -4.7739      2.7945       -9.7104      0.2070    
18       1.6648       -6.5004      5.3584       1.1746       -12.2952     10.6265      0.2471    
19       6.0488       3.5563       -15.6843     -3.2373      -1.5057      -7.6824      0.9682    
20       1.2766       -2.1230      -0.3682      3.6052       -0.3005      0.6790       0.7335    
21       8.7457       -3.6955      -4.7124      21.7022      -10.4018     -8.9639      0.2997    
22       4.9238       2.1006       3.9666       11.0609      5.7188       8.2989       0.6313    
23       1.3890       -1.6843      -1.8595      0.7292       5.0209       -4.3711      0.2137    
24       6.7006       -2.0615      1.4636       18.3647      -2.0771      4.2994       0.8537    
25       1.3249       0.8630       1.6459       -16.6121     9.8361       7.6176       0.4876    
26       0.3216       0.9836       -0.7281      -12.2212     7.9793       -3.2600      0.2744    
27       22.8999      22.1714      -19.6918     18.3394      7.4984       -10.0944     0.1134    
28       1.6203       0.1418       -3.1860      5.4357       -5.6715      -20.7421     0.4650    
29       23.7731      -10.7527     -26.7289     8.3804       -9.0204      -13.7657     0.5450    
30       3.1901       19.4292      -10.1286     6.8761       10.9691      -2.9508      0.9184    
31       0.3020       -1.2697      -0.8266      3.7996       -7.2726      1.5638       0.1041    
32       -0.6676      1.5375       -4.2147      -4.6132      2.3337       -0.8291      0.2525    
33       3.2511       -0.4764      -1.8478      -4.3536      -3.6829      -1.6985      0.1728    
34       -3.8736      4.2141       -2.5286      -12.3350     14.6892      -5.4054      0.4949    
35       -0.9038      0.1308       -1.2166      1.8683       1.3313       -9.1357      0.1874    
36       0.7298       0.9092       -0.5813      -10.5809     -9.0815      -2.3905      0.5680    
37       5.9846       -3.9612      4.1121       11.1871      -5.5261      11.8184      0.7170    
38       1.1973       -3.3389      -1.7556      6.6237       -16.4191     -6.1743      0.3391    
39       -0.6844      -1.7851      0.1071       -3.2301      -9.8087      9.9238       0.6168    
40       -1.5066      0.0250       0.6814       -1.9764      -0.7198      -2.7638      0.2737    
41       -1.2425      1.4863       1.5777       -8.6609      15.3741      14.6718      0.9608    
42       -17.9927     -1.7183      -4.5908      -5.0078      -7.3881      -3.2677      0.8611    
43       -3.3797      -5.9494      3.5249       -2.7128      -11.1304     7.7153       0.5389    
44       8.1384       -12.8163     0.6765       0.3374       -9.3598      6.1356       0.5675    
45       7.1323       14.6091      -4.2886      -3.5159      2.2503       -0.3800      0.9138    
46       5.4947       2.3295       4.2473       10.1855      3.8464       6.4440       0.8321    
47       0.7303       -0.6459      0.0226       7.5226       4.4639       1.4802       0.7355    
48       -3.8877      -3.7174      1.6752       -13.1061     -11.6063     1.6634       0.3710    
49       0.3383       0.8653       0.7694       4.5010       4.4298       -12.0700     0.9688    
50       0.7027       -1.7534      -1.1879      4.2573       -3.8858      -2.7449      0.5964    
51       2.1757       4.4691       -5.0807      3.2229       13.2776      -13.2526     0.7633    
52       -1.1733      0.5841       4.2477       -3.1944      -2.9143      21.2936      0.9175    
53       -4.1367      0.2687       -3.1929      -12.5671     -3.9339      -7.4180      0.4491    
54       -17.2064     4.7486       -10.3480     -6.2072      3.7774       -5.4391      0.9681    
55       -2.3349      2.2002       -13.1660     2.9286       6.6127       -0.5130      0.1389    
56       -6.1882      0.8335       -1.9729      -9.2668      1.0140       -2.2302      0.7218    
57       -11.4420     -0.6966      -8.2826      -1.1852      6.2358       -9.5507      0.9171    
58       26.3464      -8.8538      -2.4071      13.0255      1.8728       0.0006       0.8208    
59       0.3863       0.8292       -0.5066      11.2934      0.3536       -2.9532      0.1647    
60       1.3643       -0.2736      -1.0057      5.4662       -9.7520      -4.2776      0.3681    
61       -4.5382      -5.0225      3.5525       -11.6714     -11.5049     7.0042       0.2674    
62       -4.1919      2.0928       3.7477       -8.5529      7.3944       9.4693       0.4323    
63       -5.1115      8.0832       -2.2273      5.7404       0.7481       6.3737       0.7439    
64       20.1630      -4.0375      9.9629       17.4049      -1.5332      8.0541       0.9998    
65       5.7734       -3.9620      6.3135       10.8804      -8.2317      11.6535      0.9753    
66       3.5866       -4.3968      -0.6615      2.2892       -3.8530      -1.9884      0.9899    
67       -3.1074      2.7016       -4.1940      -3.8514      1.2134       -5.5601      0.4806    
68       1.0571       -2.3660      -1.3289      -4.1917      -4.0873      -6.8346      0.6445    
69       1.7890       -1.5907      -0.2835      -8.7544      -3.4082      -6.0216      0.5222    
70       12.4564      -5.5348      -15.3814     1.6326       -8.2580      -8.5904      0.1196    
71       -2.1103      -1.2221      -5.7779      -0.3210      -4.3249      -7.3250      0.7117    
72       -3.5959      3.1606       2.2735       -11.0417     9.3188       10.1730      0.1608    
73       -2.7870      -6.7634      -1.0910      -1.8006      -11.0430     -0.6882      0.8717    
74       -0.3264      -0.3065      -0.6757      -3.2469      1.2645       1.4965       0.8458    
75       -1.0790      -1.8870      -1.6141      -4.7588      -21.0470     -9.0161      0.1689    
76       4.2878       2.1851       -6.8322      8.8277       3.1876       -16.4032     0.4389    
77       0.4412       -0.7070      1.3137       0.2842       -4.9451      -0.0666      0.5156    
78       -3.8388      -2.9407      -3.2476      -12.1927     -7.6145      -11.5572     0.5417    
79       0.0808       -0.4793      -1.0576      0.0211       -4.5414      9.9865       0.7157    
80       1.5325       -0.3873      -0.1757      -5.6558      -2.3160      -6.9823      0.8410    
81       2.5551       0.7445       -6.7561      6.6374       -3.7408      -10.2047     0.5643    
82       0.3819       -0.4789      -0.0850      -4.8838      -11.0908     -3.7047      0.6809    
83       0.7286       -2.3871      -2.1857      2.9526       -6.6226      -2.0294      0.9577    
84       13.5707      -4.9402      10.5776      4.5069       2.9518       8.5903       0.3149    
85       4.5819       2.8492       -1.3655      6.6319       10.6834      1.2854       0.1013    
86       2.4531       -2.1482      -2.3691      12.3904      -4.9909      -7.1052      0.3472    
87       -3.3243      -0.6193      -0.4709      3.6387       1.5918       1.0693       0.8727    
88       -0.8534      0.8333       -0.2219      5.6445       -1.1362      -6.0045      0.3667    
89       -0.9450      1.1276       0.5580       3.4510       -0.6646      12.7356      0.5752    
90       -4.3015      -0.2295      -5.4757      -10.5398     -6.1671      -12.1386     0.8143    
91       3.4330       -1.9917      1.0230       5.7089       4.2602       -5.3489      0.5572    
92       5.2621       -0.3630      -4.2521      11.8849      -4.8136      -7.8060      0.5241    
93       4.2217       -2.6652      1.8532       3.4580       0.8075       0.3862       0.7500    
94       -4.6926      -0.3182      2.4916       -4.8549      4.0951       3.7459       0.3537    
95       -4.1108      3.6386       -4.9753      -6.6412      6.6815       -9.8071      0.9364    
96       6.0707       3.4196       -5.0745      11.8359      2.0428       -9.7943      0.7782    
97       -5.5722      -8.8043      -21.7015     0.3660       -8.2938      -15.7403     0.1868    
98       15.0743      14.3242      -2.2768      6.9920       7.4972       -1.4586      0.2800    
99       12.5370      -13.0157     11.6128      12.7737      -2.6911      0.3381       0.3345    
100      -0.3252      0.0778       -4.1831      0.1208       5.4733       1.8984       0.7354    
101      5.0792       6.7718       4.1749       6.8599       8.4381       6.9149       0.8770    
102      0.9404       0.1306       -1.2443      -1.5732      5.8520       -1.9438      0.4933    
103      -1.5211      1.9223       -2.2143      5.7199       2.2911       -5.7573      0.1526    
104      -0.4162      1.2653       -1.1782      -4.7078      -3.8181      -0.4273      0.9651    
105      0.9318       -0.4258      1.2501       -9.5439      -1.3558      -3.8432      0.7010    
106      4.7548       3.8550       3.9343       8.2147       5.2909       8.5807       0.1284    
107      -6.1275      0.4387       0.1505       -9.2905      3.1527       -3.2909      0.9504    
108      0.4460       -0.4672      -1.2653      6.0470       7.2061       6.5462       0.7772    
109      3.1603       1.2879       3.4068       -3.8316      11.1887      0.0677       0.7323    
110      -0.7369      -0.2068      -0.5985      -1.3311      5.1118       10.8512      0.4694    
111      -2.0516      -0.9767      -1.9358      -19.7372     -8.8526      3.0861       0.3785    
112      4.4277       -5.8661      2.8728       -6.6961      5.0097       -4.3927      0.6141    
113      3.6738       -5.6329      4.8240       7.1035       -10.5789     -4.5799      0.2605    
114      5.4360       -4.1864      3.9684       13.2945      -9.6907      12.6357      0.5399    
115      -0.8292      -1.1252      -0.7306      12.1827      -5.4558      3.7674       0.3594    
116      -1.5098      3.5176       -6.1489      -0.9974      8.2458       -17.0973     0.5911    
117      0.1938       0.5248       0.8191       -4.0907      -16.0299     -3.2872      0.6536    
118      0.6487       0.8738       2.4577       -5.9151      4.6954       -0.2695      0.5272    
119      -0.7424      -4.6413      2.5805       -2.4934      -4.7884      2.0245       0.7627    
120      12.0734      -13.2227     -16.8378     4.8825       0.0794       -11.0495     0.6698    
121      -3.1463      3.1927       3.1252       -3.1077      -0.3849      6.6285       0.9330    
122      10.9063      -7.1523      1.4245       26.7779      -15.9228     1.4455       0.7512    
123      -2.8649      0.2007       -1.9776      3.8238       -3.7205      0.5215       0.4717    
124      -4.0240      -3.5959      5.2043       -10.8435     -8.3692      14.2285      0.2991    
125      1.2848       1.7578       -0.0838      0.0968       10.0274      14.3785      0.7813    
126      -2.4491      1.8373       2.7842       -0.7718      4.0886       -0.1439      0.5357    
127      -50.5533     -25.1861     -9.9925      -28.6801     -16.6754     -6.9046      0.1890    
128      0.3088       -0.0247      -0.4122      2.7424       -13.0282     2.9873       0.3076    
